X,playername,timestamp,accel_load_accum,distance_total,leftMaxForce,leftTorque,rightMaxForce,rightTorque,torque_difference,max_force_difference
105,PLAYER_755,2/9/2023,440.976937,3185.217175,NA,NA,NA,NA,NA,NA
106,PLAYER_755,2/10/2023,540.103339,3966.832668,NA,NA,NA,NA,NA,NA
107,PLAYER_755,2/11/2023,629.034714,5044.995019,NA,NA,NA,NA,NA,NA
108,PLAYER_755,2/13/2023,531.111871,4061.003544,NA,NA,NA,NA,NA,NA
109,PLAYER_755,2/15/2023,456.895821,3726.940391,NA,NA,NA,NA,NA,NA
110,PLAYER_755,2/16/2023,407.890379,3017.732638,NA,NA,NA,NA,NA,NA
111,PLAYER_755,2/18/2023,244.344374,1738.695658,NA,NA,NA,NA,NA,NA
112,PLAYER_755,2/21/2023,510.038538,4211.087137,NA,NA,NA,NA,NA,NA
113,PLAYER_755,2/22/2023,469.811073,3667.171146,NA,NA,NA,NA,NA,NA
114,PLAYER_755,2/23/2023,435.402215,2860.251693,NA,NA,NA,NA,NA,NA
115,PLAYER_755,2/25/2023,524.53484,3826.033943,NA,NA,NA,NA,NA,NA
116,PLAYER_755,2/27/2023,404.840615,3418.362588,NA,NA,NA,NA,NA,NA
117,PLAYER_755,2/28/2023,635.927695,5095.023203,NA,NA,NA,NA,NA,NA
118,PLAYER_755,3/2/2023,525.95565,4118.321738,NA,NA,NA,NA,NA,NA
119,PLAYER_755,3/4/2023,366.432858,2695.587971,NA,NA,NA,NA,NA,NA
120,PLAYER_755,3/5/2023,503.261856,3750.233165,NA,NA,NA,NA,NA,NA
121,PLAYER_755,3/21/2023,NA,NA,374.75,200.678625,335.75,179.794125,20.8845,39
122,PLAYER_755,4/4/2023,440.59207,3480.750443,NA,NA,NA,NA,NA,NA
123,PLAYER_755,4/6/2023,311.632874,2441.232605,NA,NA,NA,NA,NA,NA
124,PLAYER_755,4/24/2023,NA,NA,410,219.555,330.25,176.848875,42.706125,79.75
125,PLAYER_755,6/26/2023,NA,NA,414.25,221.830875,322.75,172.832625,48.99825,91.5
126,PLAYER_755,6/28/2023,434.384211,3146.347709,NA,NA,NA,NA,NA,NA
127,PLAYER_755,6/29/2023,394.639769,2915.73287,NA,NA,NA,NA,NA,NA
128,PLAYER_755,6/30/2023,497.3603,4056.157973,NA,NA,NA,NA,NA,NA
129,PLAYER_755,7/5/2023,365.286101,2825.085362,NA,NA,NA,NA,NA,NA
130,PLAYER_755,7/6/2023,435.186262,3618.96912,NA,NA,NA,NA,NA,NA
131,PLAYER_755,7/7/2023,561.055576,4844.919186,NA,NA,NA,NA,NA,NA
132,PLAYER_755,7/10/2023,NA,NA,389.5,208.57725,326.5,174.84075,33.7365,63
133,PLAYER_755,7/10/2023,513.937522,4050.186812,NA,NA,NA,NA,NA,NA
134,PLAYER_755,7/11/2023,541.745865,4004.718323,NA,NA,NA,NA,NA,NA
135,PLAYER_755,7/12/2023,475.04315,3562.21513,NA,NA,NA,NA,NA,NA
136,PLAYER_755,7/13/2023,506.131823,3872.285056,NA,NA,NA,NA,NA,NA
137,PLAYER_755,7/17/2023,562.48083,4349.56815,NA,NA,NA,NA,NA,NA
138,PLAYER_755,7/18/2023,438.553601,3484.65122,NA,NA,NA,NA,NA,NA
139,PLAYER_755,7/19/2023,478.187686,3495.544679,NA,NA,NA,NA,NA,NA
140,PLAYER_755,7/20/2023,471.914485,3361.815191,NA,NA,NA,NA,NA,NA
141,PLAYER_755,7/24/2023,542.507793,4262.032995,NA,NA,NA,NA,NA,NA
142,PLAYER_755,7/25/2023,478.824457,3843.091725,NA,NA,NA,NA,NA,NA
143,PLAYER_755,7/25/2023,NA,NA,236.5,126.64575,225.75,120.889125,5.756625,10.75
144,PLAYER_755,7/26/2023,431.093641,3082.863296,NA,NA,NA,NA,NA,NA
145,PLAYER_755,7/27/2023,463.345697,3624.148883,NA,NA,NA,NA,NA,NA
146,PLAYER_755,9/1/2023,NA,NA,247.75,132.670125,220.25,117.943875,14.72625,27.5
147,PLAYER_755,9/5/2023,396.959054,2948.046923,NA,NA,NA,NA,NA,NA
148,PLAYER_755,9/6/2023,452.663224,3379.766354,NA,NA,NA,NA,NA,NA
149,PLAYER_755,9/7/2023,406.963573,3122.04436,NA,NA,NA,NA,NA,NA
150,PLAYER_755,9/8/2023,455.766753,3385.193351,NA,NA,NA,NA,NA,NA
151,PLAYER_755,9/11/2023,337.036917,2659.542106,NA,NA,NA,NA,NA,NA
