,metric
426,Relative Force at 150 ms(%)
427,Relative Force at 200 ms (BW)(N/kg)
428,Relative Force at 200 ms(%)
429,Relative Force at 250 ms (BW)(N/kg)
430,Relative Force at 250 ms(%)
431,Relative Force at 50 ms (BW)(N/kg)
432,Relative Force at 50 ms(%)
433,Relative Force at Min Displacement(%)
434,Relative Peak Force (BW)(N/kg)
435,Relative Peak Force(%)
436,Relative Peak Landing Force(%)
437,Relative Propulsive Impulse(N.s/kg)
438,Relative Propulsive Net Impulse(N.s/kg)
439,RFD 0-100 ms(N/s)
440,RFD 0-150 ms(N/s)
441,RFD 0-200 ms(N/s)
442,RFD 0-250 ms(N/s)
443,RFD 0-50 ms(N/s)
444,Right AP Sway Length(cm)
445,Right AP Sway Range(cm)
446,Right Avg. AP Sway Velocity(cm/s)
447,Right Avg. Braking Force(N)
448,Right Avg. Braking RFD(N/s)
449,Right Avg. Impact Force(N)
450,Right Avg. Landing Force(N)
451,Right Avg. ML Sway Velocity(cm/s)
452,Right Avg. Propulsive Force(N)
453,Right Avg. Stabilization Force(N)
454,Right CMJ Avg. Braking Force(N)
455,Right CMJ Avg. Propulsive Force(N)
456,Right Force at 0 ms(N)
457,Right Force at 100 ms(N)
458,Right Force at 150 ms(N)
459,Right Force at 200 ms(N)
460,Right Force at 250 ms(N)
461,Right Force at 50 ms(N)
462,Right Force at Peak Braking Force(N)
463,Right Force at Peak Force(N)
464,Right Force at Peak Landing Force(N)
465,Right Force at Peak Propulsive Force(N)
466,Right Impact RFD(N/s)
467,Right ML Sway Length(cm)
468,Right ML Sway Range(cm)
469,Right Peak Force(N)
470,Right Rebound Avg. Braking Force(N)
471,Right Rebound Avg. Propulsive Force(N)
472,Right Sway Length(cm)
473,Right Sway Range(cm)
474,Right Sway Velocity(cm/s)
475,rightAvgForce
476,rightCalibration
477,rightImpulse
478,rightMaxForce
479,rightRepetitions
480,rightTorque
481,RSI
482,SD Left Force(N)
483,SD Right Force(N)
484,SD Total Force(N)
485,speed_avg
486,speed_distance_per_time
487,speed_max
488,Spring Like Correlation
489,Stability Depth(m)
490,Stabilization Phase %
491,Stabilization Phase(s)
492,Standard Deviation(N)
493,Stiffness(N/m)
494,System Weight(N)
495,Takeoff Velocity(m/s)
496,Time to Peak Braking Force(ms)
497,Time to Peak Force(s)
498,Time to Stabilization(ms)
499,Time To Takeoff(s)
500,time_acceleration_load_category1
501,time_acceleration_load_category2
502,time_acceleration_load_category3
503,time_acceleration_load_category4
504,time_acceleration_load_category5
505,time_anaerobic_activity
506,time_heart_rate_category1
507,time_heart_rate_category2
508,time_heart_rate_category3
509,time_heart_rate_category4
510,time_heart_rate_category5
511,time_heart_rate_category6
512,time_high_metabolic_load
513,time_metabolic_power_category1
514,time_metabolic_power_category2
515,time_metabolic_power_category3
516,time_metabolic_power_category4
517,time_metabolic_power_category5
518,time_on_playing_field
519,time_speed_category1
520,time_speed_category2
521,time_speed_category3
522,time_speed_category4
523,time_speed_category5
524,time_speed_category6
525,time_total
526,Top 3 Jumps Avg. Jump Height(m)
527,Top 3 Jumps Avg. mRSI
528,Top 3 Jumps Avg. RSI
529,Top 3 Jumps Peak mRSI
530,Top 3 Jumps Peak RSI
531,Top 5 Jumps Avg. Jump Height(m)
532,Top 5 Jumps Avg. mRSI
533,Top 5 Jumps Avg. RSI
534,Top 5 Jumps Peak mRSI
535,Top 5 Jumps Peak RSI
536,Total Contact Time(s)
537,Total Flight Time(s)
538,track_gps_always
539,track_heart_rate_always
540,track_outside_field
541,track_while_clock_stopped
542,trimp
543,Unweighting Phase %
544,Unweighting Phase(s)
545,Weight in Newtons(N)
546,Weight(kgs)
547,Weight(lbs)
