,playername,team
827,PLAYER_509,Mens Lax
828,PLAYER_350,Football
829,PLAYER_209,Mens Lax
830,PLAYER_1233,Mens Lax
831,PLAYER_1037,Mens Lax
832,PLAYER_476,Mens Lax
833,PLAYER_597,Mens Lax
834,PLAYER_442,Mens Lax
835,PLAYER_1237,Mens Lax
836,PLAYER_785,Mens Lax
837,PLAYER_268,Mens Lax
838,PLAYER_261,Mens Lax
839,PLAYER_707,Mens Lax
840,PLAYER_214,Women's Lacrosse
841,PLAYER_044,Women's Lacrosse
842,PLAYER_039,Women's Lacrosse
843,PLAYER_468,Women's Lacrosse
844,PLAYER_131,Women's Lacrosse
845,PLAYER_1245,Women's Lacrosse
846,PLAYER_963,Women's Lacrosse
847,PLAYER_040,Women's Lacrosse
848,PLAYER_152,Women's Lacrosse
849,PLAYER_1054,Women's Lacrosse
850,PLAYER_498,Women's Lacrosse
851,PLAYER_217,Women's Lacrosse
852,PLAYER_960,Women's Lacrosse
853,PLAYER_083,Women's Lacrosse
854,PLAYER_957,Women's Lacrosse
855,PLAYER_153,Football
856,PLAYER_580,Football
857,PLAYER_1118,Football
858,PLAYER_258,Football
859,PLAYER_769,Women's Soccer
860,PLAYER_469,Women's Soccer
861,PLAYER_078,Women's Soccer
862,PLAYER_747,Women's Soccer
863,PLAYER_571,Football
864,PLAYER_658,Football
865,PLAYER_395,Football
866,PLAYER_661,Football
867,PLAYER_259,Football
868,PLAYER_1179,Football
869,PLAYER_1241,Volleyball
870,PLAYER_466,Volleyball
871,PLAYER_672,Volleyball
872,PLAYER_1007,Football
873,PLAYER_412,Men's Basketball
874,PLAYER_616,Men's Basketball
875,PLAYER_906,Women's Basketball
876,PLAYER_1264,Women's Basketball
877,PLAYER_851,Women's Basketball
878,PLAYER_705,Women's Basketball
879,PLAYER_1286,Volleyball
880,PLAYER_304,Men's Soccer
881,PLAYER_1062,Men's Soccer
882,PLAYER_860,Women's Soccer
883,PLAYER_684,Women's Lacrosse
884,PLAYER_1027,Women's Lacrosse
885,PLAYER_694,Women's Lacrosse
886,PLAYER_393,Women's Lacrosse
887,PLAYER_678,Softball
888,PLAYER_790,Softball
889,PLAYER_116,Softball
890,PLAYER_886,Baseball
891,PLAYER_843,Baseball
892,PLAYER_018,Baseball
893,PLAYER_418,Baseball
894,PLAYER_247,Baseball
895,PLAYER_559,Baseball
896,PLAYER_068,Men's Basketball
897,PLAYER_104,Mens Lax
898,PLAYER_201,Mens Lax
899,PLAYER_508,Mens Lax
900,PLAYER_1113,Mens Lax
901,PLAYER_512,Mens Lax
902,PLAYER_726,Mens Lax
903,PLAYER_330,Mens Lax
904,PLAYER_730,Mens Lax
905,PLAYER_505,Mens Lax
