,playername,team
181,PLAYER_122,Mens Basketball
182,PLAYER_648,Mens Basketball
183,PLAYER_854,Mens Basketball
184,PLAYER_1092,Mens Basketball
185,PLAYER_390,Womens Soccer
186,PLAYER_803,Womens Soccer
187,PLAYER_1152,Womens Soccer
188,PLAYER_052,Womens Soccer
189,PLAYER_910,Womens Soccer
190,PLAYER_112,Mens Soccer
191,PLAYER_455,Womens Soccer
192,PLAYER_529,Football
193,PLAYER_006,Womens Basketball
194,PLAYER_008,Womens Basketball
195,PLAYER_111,Womens Basketball
196,PLAYER_122,Womens Basketball
197,PLAYER_136,Womens Basketball
198,PLAYER_648,Womens Basketball
199,PLAYER_682,Womens Basketball
200,PLAYER_743,Womens Basketball
201,PLAYER_756,Womens Basketball
202,PLAYER_789,Womens Basketball
203,PLAYER_854,Womens Basketball
204,PLAYER_1020,Womens Basketball
205,PLAYER_1092,Womens Basketball
206,PLAYER_1190,Womens Basketball
207,PLAYER_182,Mens Soccer
208,PLAYER_613,Mens Soccer
209,PLAYER_774,Mens Soccer
210,PLAYER_964,Mens Soccer
211,PLAYER_1224,Mens Soccer
212,PLAYER_159,Womens Basketball
213,PLAYER_296,Womens Basketball
214,PLAYER_555,Womens Basketball
215,PLAYER_706,Womens Basketball
216,PLAYER_1239,Womens Basketball
217,PLAYER_1213,Womens Basketball
218,PLAYER_033,Mens Soccer
219,PLAYER_606,Football
220,PLAYER_923,Football
221,PLAYER_1058,Football
222,PLAYER_112,Womens Soccer
223,PLAYER_376,Womens Basketball
224,PLAYER_482,Football
225,PLAYER_489,Football
226,PLAYER_948,Football
227,PLAYER_1126,Football
228,PLAYER_198,Football
229,PLAYER_816,Football
230,PLAYER_888,Football
231,PLAYER_1053,Football
232,PLAYER_193,Mens Soccer
233,PLAYER_423,Mens Soccer
234,PLAYER_732,Mens Soccer
235,PLAYER_915,Mens Soccer
236,PLAYER_078,Mens Soccer
237,PLAYER_084,Mens Soccer
238,PLAYER_115,Mens Soccer
239,PLAYER_383,Mens Soccer
240,PLAYER_432,Mens Soccer
241,PLAYER_438,Mens Soccer
242,PLAYER_469,Mens Soccer
243,PLAYER_698,Mens Soccer
244,PLAYER_719,Mens Soccer
245,PLAYER_769,Mens Soccer
246,PLAYER_780,Mens Soccer
247,PLAYER_944,Mens Soccer
248,PLAYER_1152,Mens Soccer
249,PLAYER_685,Mens Soccer
250,PLAYER_855,Mens Soccer
251,PLAYER_610,Football
252,PLAYER_184,Football
253,PLAYER_297,Football
254,PLAYER_953,Football
255,PLAYER_1125,Football
256,PLAYER_526,Football
257,PLAYER_1232,Football
258,PLAYER_145,Mens Basketball
259,PLAYER_252,Mens Basketball
260,PLAYER_270,Mens Basketball
261,PLAYER_579,Mens Basketball
262,PLAYER_593,Mens Basketball
263,PLAYER_933,Mens Basketball
264,PLAYER_995,Mens Basketball
265,PLAYER_183,Mens Basketball
266,PLAYER_1264,Womens Basketball
267,PLAYER_341,Womens Basketball
268,PLAYER_413,Womens Soccer
269,PLAYER_552,Womens Soccer
270,PLAYER_746,Womens Soccer
271,PLAYER_1265,Womens Soccer
272,PLAYER_855,Womens Soccer
273,PLAYER_1171,Womens Soccer
274,PLAYER_480,Womens Soccer
275,PLAYER_017,Mens Soccer
276,PLAYER_544,Mens Soccer
277,PLAYER_653,Mens Soccer
278,PLAYER_1187,Mens Soccer
279,PLAYER_004,Mens Soccer
280,PLAYER_672,Womens Soccer
281,PLAYER_854,Womens Soccer
282,PLAYER_131,Mens Basketball
283,PLAYER_227,Mens Basketball
284,PLAYER_497,Mens Basketball
285,PLAYER_620,Mens Basketball
286,PLAYER_1045,Mens Basketball
287,PLAYER_285,Mens Basketball
288,PLAYER_1267,Womens Basketball
289,PLAYER_494,Womens Basketball
290,PLAYER_079,Mens Soccer
291,PLAYER_480,Mens Soccer
292,PLAYER_1171,Mens Soccer
293,PLAYER_746,Mens Soccer
294,PLAYER_846,Mens Soccer
295,PLAYER_803,Mens Soccer
296,PLAYER_404,Mens Basketball
297,PLAYER_412,Mens Basketball
298,PLAYER_616,Mens Basketball
299,PLAYER_958,Mens Basketball
300,PLAYER_1036,Mens Basketball
301,PLAYER_1050,Mens Basketball
302,PLAYER_042,Womens Basketball
303,PLAYER_056,Womens Basketball
304,PLAYER_190,Womens Basketball
305,PLAYER_343,Womens Basketball
306,PLAYER_363,Womens Basketball
307,PLAYER_600,Womens Basketball
308,PLAYER_851,Womens Basketball
309,PLAYER_906,Womens Basketball
310,PLAYER_1095,Womens Basketball
311,PLAYER_540,Mens Basketball
312,PLAYER_1282,Mens Basketball
313,PLAYER_007,Womens Soccer
314,PLAYER_053,Womens Soccer
315,PLAYER_860,Womens Soccer
316,PLAYER_961,Womens Soccer
317,PLAYER_1089,Womens Soccer
318,PLAYER_1188,Mens Basketball
319,PLAYER_747,Womens Soccer
320,PLAYER_158,Mens Soccer
321,PLAYER_518,Mens Soccer
322,PLAYER_539,Mens Soccer
323,PLAYER_1069,Mens Soccer
324,PLAYER_1104,Mens Soccer
325,PLAYER_076,Mens Basketball
326,PLAYER_721,Mens Soccer
327,PLAYER_1116,Mens Soccer
328,PLAYER_913,Mens Soccer
329,PLAYER_740,Mens Soccer
330,PLAYER_1112,Mens Soccer
331,PLAYER_128,Womens Soccer
332,PLAYER_135,Womens Soccer
333,PLAYER_760,Mens Basketball
334,PLAYER_332,Womens Basketball
335,PLAYER_051,Mens Basketball
336,PLAYER_463,Mens Basketball
337,PLAYER_473,Mens Basketball
338,PLAYER_646,Mens Basketball
339,PLAYER_1028,Mens Basketball
340,PLAYER_353,Football
341,PLAYER_1084,Football
342,PLAYER_256,Football
343,PLAYER_471,Football
344,PLAYER_1133,Baseball
345,PLAYER_171,Baseball
346,PLAYER_416,Baseball
347,PLAYER_415,Baseball
348,PLAYER_488,Baseball
349,PLAYER_338,Baseball
350,PLAYER_826,Baseball
351,PLAYER_141,Baseball
352,PLAYER_318,Football
353,PLAYER_535,Football
354,PLAYER_745,Women's Soccer
355,PLAYER_310,Men's Soccer
356,PLAYER_490,Men's Soccer
357,PLAYER_137,Men's Soccer
358,PLAYER_1196,Men's Soccer
359,PLAYER_617,Men's Soccer
360,PLAYER_205,Men's Soccer
361,PLAYER_384,Women's Soccer
362,PLAYER_792,Women's Soccer
363,PLAYER_218,Women's Soccer
364,PLAYER_946,Women's Soccer
365,PLAYER_719,Women's Soccer
366,PLAYER_1143,Women's Soccer
367,PLAYER_1191,Men's Soccer
368,PLAYER_1114,Men's Soccer
369,PLAYER_882,Mens Lax
370,PLAYER_884,Mens Lax
371,PLAYER_301,Mens Lax
372,PLAYER_762,Mens Lax
373,PLAYER_878,Mens Lax
374,PLAYER_073,Mens Lax
375,PLAYER_142,Mens Lax
376,PLAYER_1222,Mens Lax
377,PLAYER_883,Mens Lax
378,PLAYER_828,Mens Lax
379,PLAYER_349,Mens Lax
380,PLAYER_1074,Mens Lax
381,PLAYER_1147,Women's Lacrosse
382,PLAYER_255,Women's Lacrosse
383,PLAYER_1023,Women's Lacrosse
384,PLAYER_465,Women's Lacrosse
385,PLAYER_758,Women's Lacrosse
386,PLAYER_901,Women's Lacrosse
387,PLAYER_667,Women's Lacrosse
388,PLAYER_326,Women's Lacrosse
389,PLAYER_766,Women's Lacrosse
390,PLAYER_381,Women's Lacrosse
391,PLAYER_742,Women's Lacrosse
392,PLAYER_408,Women's Lacrosse
393,PLAYER_1248,Women's Lacrosse
394,PLAYER_527,Women's Lacrosse
395,PLAYER_683,Women's Lacrosse
396,PLAYER_727,Women's Lacrosse
