,playername,source_count
372,PLAYER_575,2
373,PLAYER_579,3
374,PLAYER_580,2
375,PLAYER_588,2
376,PLAYER_589,2
377,PLAYER_592,2
378,PLAYER_593,3
379,PLAYER_599,2
380,PLAYER_601,2
381,PLAYER_604,2
382,PLAYER_606,2
383,PLAYER_607,2
384,PLAYER_610,2
385,PLAYER_611,2
386,PLAYER_612,2
387,PLAYER_614,2
388,PLAYER_616,3
389,PLAYER_617,3
390,PLAYER_620,3
391,PLAYER_626,2
392,PLAYER_628,2
393,PLAYER_630,2
394,PLAYER_637,2
395,PLAYER_639,2
396,PLAYER_640,2
397,PLAYER_642,2
398,PLAYER_643,2
399,PLAYER_646,3
400,PLAYER_647,2
401,PLAYER_648,3
402,PLAYER_650,2
403,PLAYER_654,2
404,PLAYER_657,2
405,PLAYER_661,2
406,PLAYER_663,2
407,PLAYER_665,2
408,PLAYER_666,2
409,PLAYER_667,2
410,PLAYER_668,2
411,PLAYER_671,2
412,PLAYER_672,3
413,PLAYER_673,2
414,PLAYER_675,2
415,PLAYER_678,2
416,PLAYER_680,2
417,PLAYER_681,2
418,PLAYER_682,2
419,PLAYER_683,2
420,PLAYER_685,3
421,PLAYER_686,2
422,PLAYER_687,3
423,PLAYER_690,2
424,PLAYER_691,2
425,PLAYER_693,2
426,PLAYER_698,2
427,PLAYER_702,2
428,PLAYER_705,3
429,PLAYER_706,2
430,PLAYER_710,2
431,PLAYER_711,2
432,PLAYER_715,2
433,PLAYER_716,2
434,PLAYER_719,3
435,PLAYER_720,2
436,PLAYER_722,2
437,PLAYER_728,2
438,PLAYER_732,3
439,PLAYER_733,2
440,PLAYER_734,2
441,PLAYER_735,2
442,PLAYER_741,2
443,PLAYER_742,2
444,PLAYER_743,3
445,PLAYER_744,2
446,PLAYER_745,3
447,PLAYER_746,3
448,PLAYER_747,3
449,PLAYER_751,2
450,PLAYER_755,3
451,PLAYER_756,2
452,PLAYER_760,2
453,PLAYER_764,2
454,PLAYER_765,2
455,PLAYER_769,3
456,PLAYER_770,2
457,PLAYER_774,3
458,PLAYER_779,2
459,PLAYER_780,3
460,PLAYER_784,2
461,PLAYER_786,2
462,PLAYER_788,2
463,PLAYER_789,3
464,PLAYER_790,2
465,PLAYER_791,2
466,PLAYER_792,3
467,PLAYER_796,3
468,PLAYER_798,2
469,PLAYER_800,2
470,PLAYER_803,2
471,PLAYER_809,2
472,PLAYER_820,2
473,PLAYER_821,2
474,PLAYER_822,2
475,PLAYER_826,2
476,PLAYER_830,2
477,PLAYER_836,2
478,PLAYER_841,2
479,PLAYER_843,2
480,PLAYER_845,2
481,PLAYER_851,3
482,PLAYER_852,2
483,PLAYER_854,2
484,PLAYER_860,2
485,PLAYER_861,2
486,PLAYER_862,2
487,PLAYER_865,2
488,PLAYER_866,2
489,PLAYER_869,2
490,PLAYER_874,2
491,PLAYER_876,2
492,PLAYER_884,2
493,PLAYER_886,2
494,PLAYER_888,3
495,PLAYER_889,2
496,PLAYER_894,2
497,PLAYER_896,3
498,PLAYER_897,3
499,PLAYER_900,2
500,PLAYER_901,2
501,PLAYER_902,3
502,PLAYER_904,2
503,PLAYER_905,2
504,PLAYER_906,2
505,PLAYER_908,2
506,PLAYER_910,3
507,PLAYER_911,2
508,PLAYER_912,2
509,PLAYER_914,2
510,PLAYER_918,2
511,PLAYER_926,2
512,PLAYER_927,2
513,PLAYER_932,2
514,PLAYER_933,3
515,PLAYER_939,2
516,PLAYER_940,2
517,PLAYER_941,2
518,PLAYER_944,3
519,PLAYER_946,2
520,PLAYER_948,3
521,PLAYER_949,2
522,PLAYER_950,2
523,PLAYER_953,2
524,PLAYER_955,2
525,PLAYER_957,2
526,PLAYER_958,3
527,PLAYER_960,2
528,PLAYER_961,3
529,PLAYER_963,2
530,PLAYER_964,3
531,PLAYER_965,3
532,PLAYER_972,2
533,PLAYER_978,2
534,PLAYER_980,2
535,PLAYER_981,2
536,PLAYER_982,2
537,PLAYER_988,3
538,PLAYER_990,2
539,PLAYER_994,2
540,PLAYER_995,3
